date,time,timezone,MACB,source,sourcetype,type,user,host,short,desc,version,filename,inode,notes,format,extra
03/16/2018,10:11:10,UTC,.A..,WEBHIST,Chrome History,Page Visited,-,-,https://mail.google.com/mail/ (Inbox – jpinkman2018@gmail.com),https://mail.google.com/mail/ (Inbox – jpinkman2018@gmail.com) [count: 0] Host: mail.google.com Visit Source: [SOURCE_SYNCED] Type: [AUTO_BOOKMARK - Got through a suggestion in the UI] (URL not typed directly - no typed count),2,OS:/mnt/ewf/data/com.android.chrome/app_chrome/Default/History,718488,-,sqlite/chrome_history,sha256_hash: a8ea4643134d8887fd0afad3a8cc6710f6d1b741347802491d10fcba3886a502 
03/16/2018,10:12:06,UTC,.A..,WEBHIST,Chrome History,Page Visited,-,-,http://inbox.google.com/ (Inbox by Gmail),http://inbox.google.com/ (Inbox by Gmail) [count: 2] Host: inbox.google.com Visit Source: [SOURCE_SYNCED] Type: [TYPED - User typed the URL in the URL bar] (type count 2 times),2,OS:/mnt/ewf/data/com.android.chrome/app_chrome/Default/History,718488,-,sqlite/chrome_history,sha256_hash: a8ea4643134d8887fd0afad3a8cc6710f6d1b741347802491d10fcba3886a502 
03/16/2018,10:12:06,UTC,.A..,WEBHIST,Chrome History,Page Visited,-,-,https://inbox.google.com/accounts/SetOSID?authuser=0&continue=https%3A%2F%2Fi...,https://inbox.google.com/accounts/SetOSID?authuser=0&continue=https%3A%2F%2Finbox.google.com%2F%3Fpli%3D1&osidt=ALWU2cuzXI8vadmxJJkzpn2ArZ6rTOMW63fT9spEisIFAuNHFBl_nGyns5Uv1S2TleaGGJY6HYgfc9VMYN67A5-ms9-eK4xS_KoFhwNzmtMWYjOKFkmebLFs3Ari8tCm7Kbk2adYtJ8u (Inbox – jpinkman2018@gmail.com) [count: 0] Host: inbox.google.com Visit Source: [SOURCE_SYNCED] Type: [TYPED - User typed the URL in the URL bar] (URL not typed directly - no typed count),2,OS:/mnt/ewf/data/com.android.chrome/app_chrome/Default/History,718488,-,sqlite/chrome_history,sha256_hash: a8ea4643134d8887fd0afad3a8cc6710f6d1b741347802491d10fcba3886a502 
03/16/2018,10:12:06,UTC,.A..,WEBHIST,Chrome History,Page Visited,-,-,https://accounts.google.com/ServiceLogin?passive=1209600&osid=1&continue=http...,https://accounts.google.com/ServiceLogin?passive=1209600&osid=1&continue=https://inbox.google.com/&followup=https://inbox.google.com/&authuser=0 (Inbox – jpinkman2018@gmail.com) [count: 0] Host: accounts.google.com Visit Source: [SOURCE_SYNCED] Type: [TYPED - User typed the URL in the URL bar] (URL not typed directly - no typed count),2,OS:/mnt/ewf/data/com.android.chrome/app_chrome/Default/History,718488,-,sqlite/chrome_history,sha256_hash: a8ea4643134d8887fd0afad3a8cc6710f6d1b741347802491d10fcba3886a502 
03/16/2018,10:12:06,UTC,.A..,WEBHIST,Chrome History,Page Visited,-,-,https://inbox.google.com/?pli=1 (Inbox – jpinkman2018@gmail.com),https://inbox.google.com/?pli=1 (Inbox – jpinkman2018@gmail.com) [count: 2] Host: inbox.google.com Visit Source: [SOURCE_SYNCED] Type: [TYPED - User typed the URL in the URL bar] (type count 2 times),2,OS:/mnt/ewf/data/com.android.chrome/app_chrome/Default/History,718488,-,sqlite/chrome_history,sha256_hash: a8ea4643134d8887fd0afad3a8cc6710f6d1b741347802491d10fcba3886a502 
03/16/2018,10:12:06,UTC,.A..,WEBHIST,Chrome History,Page Visited,-,-,https://inbox.google.com/ (Inbox – jpinkman2018@gmail.com),https://inbox.google.com/ (Inbox – jpinkman2018@gmail.com) [count: 0] Host: inbox.google.com Visit Source: [SOURCE_SYNCED] Type: [TYPED - User typed the URL in the URL bar] (URL not typed directly - no typed count),2,OS:/mnt/ewf/data/com.android.chrome/app_chrome/Default/History,718488,-,sqlite/chrome_history,sha256_hash: a8ea4643134d8887fd0afad3a8cc6710f6d1b741347802491d10fcba3886a502 
03/16/2018,10:12:08,UTC,.A..,WEBHIST,Chrome History,Page Visited,-,-,https://inbox.google.com/?pli=1 (Inbox – jpinkman2018@gmail.com),https://inbox.google.com/?pli=1 (Inbox – jpinkman2018@gmail.com) [count: 2] Host: inbox.google.com Visit Source: [SOURCE_SYNCED] Type: [LINK - User clicked a link] (type count 2 times),2,OS:/mnt/ewf/data/com.android.chrome/app_chrome/Default/History,718488,-,sqlite/chrome_history,sha256_hash: a8ea4643134d8887fd0afad3a8cc6710f6d1b741347802491d10fcba3886a502 
03/16/2018,10:12:08,UTC,.A..,WEBHIST,Chrome History,Page Visited,-,-,https://inbox.google.com/?pli=1 (Inbox – jpinkman2018@gmail.com),https://inbox.google.com/?pli=1 (Inbox – jpinkman2018@gmail.com) [count: 2] Host: inbox.google.com Visit Source: [SOURCE_SYNCED] Type: [LINK - User clicked a link] (type count 2 times),2,OS:/mnt/ewf/data/com.android.chrome/app_chrome/Default/History,718488,-,sqlite/chrome_history,sha256_hash: a8ea4643134d8887fd0afad3a8cc6710f6d1b741347802491d10fcba3886a502 
03/19/2018,07:59:34,UTC,.A..,WEBHIST,Chrome History,Page Visited,-,-,http://nest.com/ (Nest | Crea una casa connessa),http://nest.com/ (Nest | Crea una casa connessa) [count: 5] Host: nest.com Visit Source: [SOURCE_SYNCED] Type: [TYPED - User typed the URL in the URL bar] (type count 5 times),2,OS:/mnt/ewf/data/com.android.chrome/app_chrome/Default/History,718488,-,sqlite/chrome_history,sha256_hash: a8ea4643134d8887fd0afad3a8cc6710f6d1b741347802491d10fcba3886a502 
03/19/2018,07:59:34,UTC,.A..,WEBHIST,Chrome History,Page Visited,-,-,https://nest.com/it/ (Nest | Crea una casa connessa),https://nest.com/it/ (Nest | Crea una casa connessa) [count: 0] Host: nest.com Visit Source: [SOURCE_SYNCED] Type: [TYPED - User typed the URL in the URL bar] (URL not typed directly - no typed count),2,OS:/mnt/ewf/data/com.android.chrome/app_chrome/Default/History,718488,-,sqlite/chrome_history,sha256_hash: a8ea4643134d8887fd0afad3a8cc6710f6d1b741347802491d10fcba3886a502 
